"Date","Price","Open","High","Low","Change %"
"Mar 23, 2016","68.7234","67.4914","68.7516","67.4486","1.83"
"Mar 22, 2016","67.4914","67.8348","68.2374","67.2028","-0.51"
"Mar 21, 2016","67.8348","68.3703","69.1166","67.5203","-0.78"
"Mar 18, 2016","68.3703","68.0758","68.7043","67.3026","0.43"
"Mar 17, 2016","68.0758","69.1734","69.1734","67.9606","-1.59"
"Mar 16, 2016","69.1734","71.0474","71.2303","69.1299","-2.64"
"Mar 15, 2016","71.0474","69.9772","71.3575","69.9600","1.53"
"Mar 14, 2016","69.9772","69.9192","70.9539","69.6951","0.08"
"Mar 11, 2016","69.9192","71.4291","71.4550","69.4782","-2.11"
"Mar 10, 2016","71.4291","71.1102","71.8797","69.9767","0.45"
"Mar 09, 2016","71.1102","71.4779","72.6582","70.7696","-0.51"
"Mar 07, 2016","71.4779","72.0326","72.2449","71.1390","-0.77"
"Mar 04, 2016","72.0326","73.1620","73.4294","71.7577","-1.54"
"Mar 03, 2016","73.1620","73.0278","74.0648","72.9079","0.18"
"Mar 02, 2016","73.0278","73.3731","74.2113","73.0229","-0.47"
"Mar 01, 2016","73.3731","75.1682","75.1682","73.1891","-2.39"
"Feb 29, 2016","75.1682","76.1883","76.2819","74.8940","-1.34"
"Feb 26, 2016","76.1883","75.3641","76.4086","74.5206","1.09"
"Feb 25, 2016","75.3641","75.7421","76.6408","75.1921","-0.50"
"Feb 24, 2016","75.7421","75.3462","77.5512","75.3462","0.53"
"Feb 22, 2016","75.3462","77.0453","77.0453","74.9729","-2.21"
"Feb 20, 2016","77.0453","76.9937","77.2625","76.5269","0.07"
"Feb 19, 2016","76.9937","76.4278","77.8704","76.0642","0.74"
"Feb 18, 2016","76.4278","75.0400","76.4919","74.9552","1.85"
"Feb 17, 2016","75.0400","77.8876","78.2768","74.6985","-3.66"
"Feb 16, 2016","77.8876","76.9807","78.1027","75.9297","1.18"
"Feb 15, 2016","76.9807","78.3558","78.3558","76.9176","-1.75"
"Feb 12, 2016","78.3558","79.5917","79.7666","78.1602","-1.55"
"Feb 11, 2016","79.5917","78.6429","80.6000","78.6429","1.21"
"Feb 10, 2016","78.6429","79.7087","79.7087","77.7550","-1.34"
"Feb 09, 2016","79.7087","78.5509","79.9399","78.1013","1.47"
"Feb 08, 2016","78.5509","77.4872","79.0665","76.4422","1.37"
"Feb 05, 2016","77.4872","76.9080","77.6979","76.4612","0.75"
"Feb 04, 2016","76.9080","76.8869","77.2215","75.6070","0.03"
"Feb 03, 2016","76.8869","79.7542","79.8280","76.7034","-3.60"
"Feb 02, 2016","79.7542","77.3094","79.7549","77.3094","3.16"
"Feb 01, 2016","77.3094","75.4644","77.4449","75.4273","2.44"
"Jan 29, 2016","75.4644","76.3787","76.3787","74.6083","-1.20"
"Jan 28, 2016","76.3787","77.6556","77.8664","75.5062","-1.64"
"Jan 27, 2016","77.6556","78.3342","79.4477","76.9540","-0.87"
"Jan 26, 2016","78.3342","80.0649","82.2142","77.7454","-2.16"
"Jan 25, 2016","80.0649","78.0450","80.1057","76.7135","2.59"
"Jan 22, 2016","78.0450","82.6813","82.6813","77.9909","-5.61"
"Jan 21, 2016","82.6813","81.3906","85.7520","81.3906","1.59"
"Jan 20, 2016","81.3906","78.5908","82.4411","78.5908","3.56"
"Jan 19, 2016","78.5908","79.2942","79.2942","78.1013","-0.89"
"Jan 18, 2016","79.2942","77.6411","79.3984","77.6411","2.13"
"Jan 15, 2016","77.6411","76.0647","77.9347","76.0647","2.07"
"Jan 14, 2016","76.0647","76.6724","77.0304","76.0640","-0.79"
"Jan 13, 2016","76.6724","77.0394","77.0394","75.7597","-0.48"
"Jan 12, 2016","77.0394","76.2000","77.2297","75.9207","1.10"
"Jan 11, 2016","76.2000","74.7623","76.4054","74.7623","1.86"
"Jan 08, 2016","74.8050","74.8100","75.3100","73.5100","-0.39"
"Jan 07, 2016","75.1000","74.6000","76.1700","74.0720","0.45"
"Jan 06, 2016","74.7623","73.3260","75.0218","73.3130","1.96"
"Jan 05, 2016","73.3260","73.1655","73.5432","72.7952","0.22"
"Jan 04, 2016","73.1655","73.5963","73.5963","72.6455","0.23"
"Jan 01, 2016","73.0000","72.8800","73.0000","72.8800","0.00"
"Dec 31, 2015","72.9990","73.2300","74.3700","72.7530","-0.81"
"Dec 30, 2015","73.5963","72.2122","73.6222","72.2122","1.92"
"Dec 29, 2015","72.2122","72.2113","72.8325","71.8976","0.00"
"Dec 28, 2015","72.2113","70.6670","72.4428","70.3983","2.19"
"Dec 25, 2015","70.6670","70.2508","70.7986","70.0394","0.59"
"Dec 24, 2015","70.2508","69.6966","70.7539","69.3305","0.80"
"Dec 23, 2015","69.6966","71.2450","71.2450","69.6430","-2.17"
"Dec 22, 2015","71.2450","71.2254","71.3095","70.9943","0.03"
"Dec 21, 2015","71.2254","70.9601","71.3771","70.9601","0.37"
"Dec 18, 2015","70.9601","71.1770","71.4344","70.5325","-0.30"
"Dec 17, 2015","71.1770","70.3862","71.1782","70.3084","1.12"
"Dec 16, 2015","70.3862","69.9483","70.5856","69.8370","0.63"
"Dec 15, 2015","69.9483","70.5657","71.0249","69.6640","-0.87"
"Dec 14, 2015","70.5657","70.3518","71.1841","70.0577","0.30"
"Dec 11, 2015","70.3518","69.1318","70.4930","69.0778","1.76"
"Dec 10, 2015","69.1318","69.3606","69.3606","68.6303","-0.33"
"Dec 09, 2015","69.3606","69.4666","69.6403","68.7477","-0.15"
"Dec 08, 2015","69.4666","69.4916","69.9178","69.0468","-0.04"
"Dec 07, 2015","69.4916","68.1246","69.4987","68.1246","2.01"
"Dec 04, 2015","68.1246","67.5188","68.2787","67.2490","0.90"
"Dec 03, 2015","67.5188","67.4841","68.1667","67.4810","0.05"
"Dec 02, 2015","67.4841","66.6126","67.4841","66.6067","1.31"
"Dec 01, 2015","66.6126","66.4888","66.8737","66.0833","0.19"
"Nov 30, 2015","66.4888","66.4697","66.8801","65.8683","0.03"
"Nov 27, 2015","66.4697","65.8419","66.4786","65.8419","0.95"
"Nov 26, 2015","65.8419","65.5334","65.9848","65.5269","0.47"
"Nov 25, 2015","65.5334","65.4144","66.0605","65.3097","0.18"
"Nov 24, 2015","65.4144","65.8628","66.4294","65.2108","-0.68"
"Nov 23, 2015","65.8628","64.7672","66.2206","64.7672","1.69"
"Nov 20, 2015","64.7672","64.6114","65.0297","64.3398","0.24"
"Nov 19, 2015","64.6114","64.7599","65.1386","64.3897","-0.23"
"Nov 18, 2015","64.7599","65.1463","65.4923","64.5605","-0.59"
"Nov 17, 2015","65.1463","65.2988","65.7457","64.6339","-0.23"
"Nov 16, 2015","65.2988","66.7624","66.7624","65.2235","-2.19"
"Nov 13, 2015","66.7624","66.6271","66.9866","66.3384","0.20"
"Nov 12, 2015","66.6271","65.4366","66.6466","65.3014","1.82"
"Nov 11, 2015","65.4366","64.5810","65.4844","64.3881","1.32"
"Nov 10, 2015","64.5810","64.5941","64.7355","64.1047","-0.02"
"Nov 09, 2015","64.5941","64.5929","64.8587","64.1859","0.00"
"Nov 06, 2015","64.5929","63.4329","64.8049","63.4316","1.83"
"Nov 05, 2015","63.4329","62.5868","63.5660","62.5868","0.37"
"Nov 04, 2015","63.2010","62.5350","63.3490","62.0400","0.98"
"Nov 03, 2015","62.5868","63.6481","64.0741","62.3561","-1.67"
"Nov 02, 2015","63.6481","63.9454","64.3969","63.6097","-0.46"
"Oct 30, 2015","63.9454","64.4008","64.6454","63.4880","-0.71"
"Oct 29, 2015","64.4008","63.9391","64.6772","63.7469","0.72"
"Oct 28, 2015","63.9391","64.9247","65.4832","63.3944","-1.52"
"Oct 27, 2015","64.9247","63.0122","65.1379","63.0122","3.04"
"Oct 26, 2015","63.0122","62.3638","63.0250","62.1252","1.04"
"Oct 23, 2015","62.3638","62.5961","62.5961","61.6790","-0.37"
"Oct 22, 2015","62.5961","63.0471","63.0471","62.3963","-0.72"
"Oct 21, 2015","63.0471","62.1100","63.1366","62.1100","1.51"
"Oct 20, 2015","62.1100","62.2839","62.3609","61.6853","-0.28"
"Oct 19, 2015","62.2839","61.2708","62.4180","61.2041","1.65"
"Oct 16, 2015","61.2708","61.3889","62.0962","61.1354","-0.19"
